"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;;;;;;;;
01 Halden;1;Halden;30;100;6;20;10;33,33;;;;;;;;
02 Indre Østfold;2;Indre Østfold;145;100;45;31,03;45;31,03;;;;;;;;
03 Mosseregionen;3;Mosseregionen;80;100;49;61,25;32;40,00;;;;;;;;
04 Nedre Glomma;4;Nedre Glomma;170;100;97;57,06;114;67,06;;;;;;;;
05 Akershus Vest;5;Akershus Vest;240;100;149;62,08;185;77,08;;;;;;;;
06 Follo;6;Follo;190;100;90;47,37;140;73,68;;;;;;;;
07 Nedre Romerike;7;Nedre Romerike;225;100;132;58,67;135;60,00;;;;;;;;
08 Øvre Romerike;8;Øvre Romerike;109;100;55;50,46;65;59,63;;;;;;;;
09 Oslo;9;Oslo;450;100;459;102;410;91,11;;;;;;;;
10 Fjellregionen;10;Fjellregionen;61;100;28;45,9;47;77,05;;;;;;;;
11 Glåmdal;11;Glåmdal;97;100;34;35,05;68;70,10;;;;;;;;
12 Hamarregionen;12;Hamarregionen;127;100;81;63,78;100;78,74;;;;;;;;
13 Sør Østerdal;13;Sør Østerdal;81;100;44;54,32;50;61,73;;;;;;;;
14 Gjøvikregionen;14;Gjøvikregionen;117;100;89;76,07;105;89,74;;;;;;;;
15 Hadeland;15;Hadeland;75;100;68;90,67;65;86,67;;;;;;;;
16 Lillehammerregionen;16;Lillehammerregionen;87;100;69;79,31;65;74,71;;;;;;;;
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;40;100;24;60;20;50,00;;;;;;;;
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;54;100;25;46,3;33;61,11;;;;;;;;
19 Valdres;19;Valdres;54;100;22;40,74;29;53,70;;;;;;;;
20 Drammensregionen;20;Drammensregionen;288;100;228;79,17;234;81,25;;;;;;;;
21 Hallingdal;21;Hallingdal;70;100;42;60;47;67,14;;;;;;;;
