"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;;;;;;;;
01 Halden;1;Halden;35;100;22;62,86;21;60,00;;;;;;;;
02 Indre Østfold;2;Indre Østfold;135;100;35;25,93;50;37,04;;;;;;;;
03 Mosseregionen;3;Mosseregionen;90;100;42;46,67;45;50,00;;;;;;;;
04 Nedre Glomma;4;Nedre Glomma;175;100;130;74,29;149;85,14;;;;;;;;
05 Akershus Vest;5;Akershus Vest;235;100;164;69,79;205;87,23;;;;;;;;
06 Follo;6;Follo;196;100;181;92,35;159;81,12;;;;;;;;
07 Nedre Romerike;7;Nedre Romerike;217;100;153;70,51;180;82,95;;;;;;;;
08 Øvre Romerike;8;Øvre Romerike;119;100;92;77,31;92;77,31;;;;;;;;
09 Oslo;9;Oslo;500;100;495;99;500;100,00;;;;;;;;
10 Fjellregionen;10;Fjellregionen;75;100;51;68;54;72,00;;;;;;;;
11 Glåmdal;11;Glåmdal;105;100;55;52,38;52;49,52;;;;;;;;
12 Hamarregionen;12;Hamarregionen;175;100;123;70,29;113;64,57;;;;;;;;
13 Sør Østerdal;13;Sør Østerdal;95;100;60;63,16;68;71,58;;;;;;;;
14 Gjøvikregionen;14;Gjøvikregionen;140;100;111;79,29;120;85,71;;;;;;;;
15 Hadeland;15;Hadeland;100;100;83;83;90;90,00;;;;;;;;
16 Lillehammerregionen;16;Lillehammerregionen;85;100;63;74,12;75;88,24;;;;;;;;
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;40;100;30;75;30;75,00;;;;;;;;
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;67;100;59;88,06;47;70,15;;;;;;;;
19 Valdres;19;Valdres;65;100;31;47,69;38;58,46;;;;;;;;
20 Drammensregionen;20;Drammensregionen;345;100;261;75,65;248;71,88;;;;;;;;
21 Hallingdal;21;Hallingdal;85;100;56;65,88;52;61,18;;;;;;;;
22 Kongsberg/Numedal;22;Kongsberg/Numedal;80;100;53;66,25;51;63,75;;;;;;;;
23 Midt-Buskerud;23;Midt-Buskerud;55;100;24;43,64;26;47,27;;;;;;;;
24 Ringerike/Hole;24;Ringerike/Hole;65;100;34;52,31;60;92,31;;;;;;;;
25 Tønsbergregionen;25;Tønsbergregionen;230;100;167;72,61;163;70,87;;;;;;;;
26 Sandefjord/Larvik;26;Sandefjord/Larvik;115;100;99;86,09;115;100,00;;;;;;;;
27 Grenland;27;Grenland;325;100;240;73,85;213;65,54;;;;;;;;
28 Midt-Telemark;28;Midt-Telemark;65;100;47;72,31;48;73,85;;;;;;;;
29 Øst-Telemark;29;Øst-Telemark;80;100;77;96,25;69;86,25;;;;;;;;
30 Vest-Telemark;30;Vest-Telemark;70;100;24;34,29;38;54,29;;;;;;;;
31 Setesdal;31;Setesdal;45;100;30;66,67;30;66,67;;;;;;;;
32 Arendalregionen;32;Arendalregionen;265;100;200;75,47;213;80,38;;;;;;;;
33 Lister;33;Lister;160;100;97;60,63;100;62,50;;;;;;;;
34 Mandalsregionen;34;Mandalsregionen;100;100;73;73;75;75,00;;;;;;;;
35 Kristiansandregionen;35;Kristiansandregionen;380;100;332;87,37;332;87,37;;;;;;;;
36 Dalane;36;Dalane;80;100;51;63,75;65;81,25;;;;;;;;
37 Haugesundregionen;37;Haugesundregionen;216;100;125;57,87;128;59,26;;;;;;;;
38 Ryfylke;38;Ryfylke;98;100;47;47,96;44;44,90;;;;;;;;
39 Stavangerregionen;39;Stavangerregionen;428;100;341;79,67;345;80,61;;;;;;;;
40 Bergen;40;Bergen;350;100;323;92,29;350;100,00;;;;;;;;
41 Bjørnefjorden;41;Bjørnefjorden;50;100;17;34;20;40,00;;;;;;;;
42 Hardanger;42;Hardanger;100;100;48;48;50;50,00;;;;;;;;
43 Voss;43;Voss;30;100;34;113,33;30;100,00;;;;;;;;
44 Nordhordland;44;Nordhordland;103;100;59;57,28;52;50,49;;;;;;;;
45 Osterfjorden;45;Osterfjorden;38;100;12;31,58;13;34,21;;;;;;;;
46 Sunnhordland;46;Sunnhordland;150;100;86;57,33;101;67,33;;;;;;;;
47 Hordaland Vest;47;Hordaland Vest;115;100;73;63,48;70;60,87;;;;;;;;
48 HAFS;48;HAFS;48;100;17;35,42;27;56,25;;;;;;;;
49 Nordfjord;49;Nordfjord;118;100;73;61,86;92;77,97;;;;;;;;
50 Sogn;50;Sogn;135;100;73;54,07;110;81,48;;;;;;;;
51 Sunnfjord;51;Sunnfjord;105;100;66;62,86;72;68,57;;;;;;;;
52 Nordmøre;52;Nordmøre;190;100;130;68,42;147;77,37;;;;;;;;
53 Romsdal;53;Romsdal;155;100;130;83,87;80;51,61;;;;;;;;
54 Storfjord;54;Storfjord;60;100;9;15;19;31,67;;;;;;;;
55 Søre Sunnmøre;55;Søre Sunnmøre;150;100;87;58;91;60,67;;;;;;;;
56 Ålesundregionen;56;Ålesundregionen;180;100;95;52,78;106;58,89;;;;;;;;
57 Fosen;57;Fosen;90;100;46;51,11;59;65,56;;;;;;;;
58 Hitra/Frøya;58;Hitra/Frøya;30;100;10;33,33;25;83,33;;;;;;;;
59 Oppdal/Rennebu;59;Oppdal/Rennebu;30;100;21;70;30;100,00;;;;;;;;
60 Orkdalregionen;60;Orkdalregionen;70;100;38;54,29;35;50,00;;;;;;;;
61 Trondheimsregionen;61;Trondheimsregionen;425;100;362;85,18;364;85,65;;;;;;;;
62 Rørosregionen;62;Rørosregionen;35;100;25;71,43;15;42,86;;;;;;;;
63 Stjørdalsregionen;63;Stjørdalsregionen;70;100;73;104,29;65;92,86;;;;;;;;
64 Innherred;64;Innherred;155;100;140;90,32;138;89,03;;;;;;;;
65 Indre Namdal;65;Indre Namdal;65;100;40;61,54;35;53,85;;;;;;;;
66 Kystgruppen;66;Kystgruppen;45;100;34;75,56;35;77,78;;;;;;;;
67 Midtre Namdal;67;Midtre Namdal;80;100;50;62,5;50;62,50;;;;;;;;
68 Sør-Helgeland;68;Sør-Helgeland;80;100;43;53,75;37;46,25;;;;;;;;
69 HALD;69;HALD;75;100;49;65,33;50;66,67;;;;;;;;
70 Ytre Helgeland;70;Ytre Helgeland;40;100;0;0;0;0,00;;;;;;;;
71 Mosjøregionen;71;Mosjøregionen;60;100;34;56,67;45;75,00;;;;;;;;
72 Ranaregionen;72;Ranaregionen;80;100;53;66,25;70;87,50;;;;;;;;
73 Salten;73;Salten;215;100;175;81,4;196;91,16;;;;;;;;
74 Ofoten;74;Ofoten;100;100;64;64;65;65,00;;;;;;;;
75 Lofoten;75;Lofoten;130;100;85;65,38;92;70,77;;;;;;;;
